inventory_id,product_name,product_category,unit_price,quantity_on_hand,distribution_center_id
INV000227,Product 227,Outdoor,1493.91,69,DC0002
INV000228,Product 228,Hardware,1331.45,79,DC0007
INV000229,Product 229,Automotive,559.66,496,DC0009
INV000230,Product 230,Clothing,883.07,382,DC0003
INV000231,Product 231,Clothing,984.11,436,DC0008
INV000232,Product 232,Clothing,1408.88,153,DC0001
INV000233,Product 233,Grocery,329.82,237,DC0004
INV000234,Product 234,Grocery,153.54,361,DC0006
INV000235,Product 235,Grocery,95.52,151,DC0004
INV000236,Product 236,Electronics,1423.77,431,DC0008
INV000237,Product 237,Electronics,995.84,338,DC0010
INV000238,Product 238,Appliances,80.61,180,DC0004
INV000239,Product 239,Home Goods,1181.53,115,DC0002
INV000240,Product 240,Hardware,881.64,426,DC0004
INV000241,Product 241,Grocery,1162.68,413,DC0010
INV000242,Product 242,Appliances,419.53,84,DC0003
INV000243,Product 243,Outdoor,1198.78,66,DC0001
INV000244,Product 244,Home Goods,27.22,414,DC0004
INV000245,Product 245,Grocery,28.59,145,DC0001
INV000246,Product 246,Home Goods,1113.87,279,DC0002
INV000247,Product 247,Electronics,716.99,408,DC0006
INV000248,Product 248,Electronics,680.75,123,DC0010
INV000249,Product 249,Appliances,1092.23,475,DC0009
INV000250,Product 250,Outdoor,689.77,25,DC0001
INV000251,Product 251,Automotive,1271.71,228,DC0002
INV000252,Product 252,Automotive,1070.04,237,DC0002
INV000253,Product 253,Electronics,486.56,85,DC0002
INV000254,Product 254,Home Goods,416.15,334,DC0010
INV000255,Product 255,Grocery,574.45,315,DC0009
INV000256,Product 256,Outdoor,683.3,319,DC0007
INV000257,Product 257,Electronics,1190.68,68,DC0009
INV000258,Product 258,Hardware,647.95,464,DC0004
INV000259,Product 259,Clothing,511.7,242,DC0007
INV000260,Product 260,Clothing,1095.77,170,DC0007
INV000261,Product 261,Grocery,999.34,201,DC0003
INV000262,Product 262,Automotive,105.36,435,DC0002
INV000263,Product 263,Electronics,650.66,391,DC0006
INV000264,Product 264,Home Goods,836.77,310,DC0009
INV000265,Product 265,Grocery,1006.67,220,DC0006
INV000266,Product 266,Clothing,1302.8,379,DC0001
INV000267,Product 267,Outdoor,902.61,190,DC0002
INV000268,Product 268,Hardware,236.32,256,DC0004
INV000269,Product 269,Electronics,528.42,294,DC0006
INV000270,Product 270,Electronics,1145.1,303,DC0004
INV000271,Product 271,Clothing,1268.51,402,DC0010
INV000272,Product 272,Appliances,915.45,346,DC0005
INV000273,Product 273,Appliances,274.72,369,DC0005
INV000274,Product 274,Grocery,529.78,102,DC0003
INV000275,Product 275,Clothing,109.03,389,DC0001
INV000276,Product 276,Electronics,1120.44,120,DC0007
INV000277,Product 277,Clothing,683.2,90,DC0006
INV000278,Product 278,Outdoor,1083.79,407,DC0010
INV000279,Product 279,Electronics,1325.6,89,DC0003
INV000280,Product 280,Appliances,1012.58,149,DC0008
INV000281,Product 281,Clothing,731.06,236,DC0007
INV000282,Product 282,Outdoor,327.28,272,DC0002
INV000283,Product 283,Grocery,647.72,155,DC0010
INV000284,Product 284,Automotive,792.77,167,DC0001
INV000285,Product 285,Hardware,595.92,316,DC0001
INV000286,Product 286,Appliances,310.61,494,DC0004
INV000287,Product 287,Home Goods,1147.42,158,DC0006
INV000288,Product 288,Electronics,16.56,392,DC0007
INV000289,Product 289,Home Goods,198.13,282,DC0004
INV000290,Product 290,Grocery,112.75,451,DC0001
INV000291,Product 291,Clothing,33.02,481,DC0002
INV000292,Product 292,Grocery,865.76,303,DC0007
INV000293,Product 293,Clothing,437.83,217,DC0001
INV000294,Product 294,Grocery,261.95,495,DC0010
INV000295,Product 295,Automotive,1248.88,480,DC0006
INV000296,Product 296,Electronics,657.88,64,DC0004
INV000297,Product 297,Clothing,885.36,278,DC0002
INV000298,Product 298,Clothing,1306.43,391,DC0006
INV000299,Product 299,Hardware,502.94,96,DC0002
INV000300,Product 300,Electronics,798.25,109,DC0006
INV000301,Product 301,Grocery,1092.43,429,DC0003
INV000302,Product 302,Hardware,158.69,141,DC0004
INV000303,Product 303,Home Goods,905.59,399,DC0002
INV000304,Product 304,Home Goods,1427.18,331,DC0008
INV000305,Product 305,Automotive,1132.9,399,DC0010
INV000306,Product 306,Automotive,1023.29,461,DC0010
INV000307,Product 307,Grocery,1297.05,331,DC0006
INV000308,Product 308,Home Goods,662.45,250,DC0008
INV000309,Product 309,Outdoor,1195.51,312,DC0001
INV000310,Product 310,Grocery,763.47,168,DC0008
INV000311,Product 311,Automotive,61.22,198,DC0005
INV000312,Product 312,Electronics,968.78,447,DC0002
INV000313,Product 313,Clothing,696.75,293,DC0001
INV000314,Product 314,Automotive,1364.03,302,DC0004
INV000315,Product 315,Grocery,909.48,266,DC0003
INV000316,Product 316,Appliances,678.53,425,DC0006
INV000317,Product 317,Electronics,759.3,98,DC0001
INV000318,Product 318,Hardware,1062.89,234,DC0009
INV000319,Product 319,Home Goods,549.03,479,DC0005
INV000320,Product 320,Clothing,616.11,183,DC0010
INV000321,Product 321,Appliances,1184.89,341,DC0006
INV000322,Product 322,Electronics,497.89,295,DC0007
INV000323,Product 323,Outdoor,381.73,446,DC0010
INV000324,Product 324,Home Goods,503.38,308,DC0003
INV000325,Product 325,Grocery,468.8,345,DC0007
INV000326,Product 326,Home Goods,894.59,490,DC0002
INV000327,Product 327,Outdoor,840.59,339,DC0006
INV000328,Product 328,Home Goods,1006.82,434,DC0009
INV000329,Product 329,Electronics,970.81,226,DC0009
INV000330,Product 330,Grocery,32.25,168,DC0003
INV000331,Product 331,Hardware,515.89,402,DC0008
INV000332,Product 332,Hardware,343.68,80,DC0003
INV000333,Product 333,Electronics,447.21,413,DC0002
INV000334,Product 334,Appliances,994.58,458,DC0010
INV000335,Product 335,Home Goods,897.88,88,DC0003
INV000336,Product 336,Home Goods,1247.86,404,DC0010
INV000337,Product 337,Home Goods,1083.17,32,DC0007
INV000338,Product 338,Grocery,1016.16,131,DC0008
INV000339,Product 339,Outdoor,1129.82,411,DC0008
INV000340,Product 340,Hardware,803.35,168,DC0008
INV000341,Product 341,Hardware,554.92,494,DC0010
INV000342,Product 342,Automotive,695.21,154,DC0007
INV000343,Product 343,Clothing,1449.57,428,DC0004
INV000344,Product 344,Home Goods,1310.14,36,DC0008
INV000345,Product 345,Grocery,834.04,62,DC0009
INV000346,Product 346,Electronics,431.17,400,DC0003
INV000347,Product 347,Outdoor,676.73,272,DC0003
INV000348,Product 348,Clothing,142.11,476,DC0004
INV000349,Product 349,Automotive,1327.52,486,DC0001
INV000350,Product 350,Clothing,84.62,267,DC0006
INV000351,Product 351,Hardware,582.32,51,DC0006
INV000352,Product 352,Hardware,47.14,486,DC0002
INV000353,Product 353,Grocery,1188.11,80,DC0001
INV000354,Product 354,Outdoor,1376.51,251,DC0003
INV000355,Product 355,Automotive,675.66,12,DC0002
INV000356,Product 356,Appliances,387.61,437,DC0003
INV000357,Product 357,Clothing,171.22,157,DC0004
INV000358,Product 358,Outdoor,187.16,132,DC0007
INV000359,Product 359,Automotive,98.9,438,DC0008
INV000360,Product 360,Appliances,949.77,304,DC0004
INV000361,Product 361,Home Goods,440.45,10,DC0010
INV000362,Product 362,Grocery,364.64,223,DC0003
INV000363,Product 363,Electronics,787.61,194,DC0002
INV000364,Product 364,Appliances,588.73,250,DC0001
INV000365,Product 365,Clothing,1471.65,139,DC0001
INV000366,Product 366,Grocery,1183.84,186,DC0004
INV000367,Product 367,Electronics,1158.39,386,DC0006
INV000368,Product 368,Home Goods,71.28,289,DC0006
INV000369,Product 369,Home Goods,1246.42,360,DC0008
INV000370,Product 370,Automotive,949.45,425,DC0003
INV000371,Product 371,Electronics,1075.49,493,DC0008
INV000372,Product 372,Appliances,443.7,32,DC0004
INV000373,Product 373,Appliances,476.82,168,DC0009
INV000374,Product 374,Clothing,1483.74,288,DC0008
INV000375,Product 375,Outdoor,59.75,341,DC0004
INV000376,Product 376,Outdoor,538.68,409,DC0001
INV000377,Product 377,Grocery,413.46,419,DC0006
INV000378,Product 378,Clothing,1334.78,390,DC0008
INV000379,Product 379,Clothing,511.86,105,DC0008
INV000380,Product 380,Automotive,554.18,418,DC0009
INV000381,Product 381,Outdoor,1202.72,382,DC0007
INV000382,Product 382,Electronics,648.76,431,DC0003
INV000383,Product 383,Outdoor,485.21,50,DC0006
INV000384,Product 384,Outdoor,463.21,318,DC0007
INV000385,Product 385,Home Goods,1036.2,189,DC0008
INV000386,Product 386,Appliances,1091.59,476,DC0006
INV000387,Product 387,Clothing,415.46,415,DC0001
INV000388,Product 388,Electronics,1008.42,217,DC0006
INV000389,Product 389,Home Goods,1429.42,83,DC0010
INV000390,Product 390,Automotive,57.02,44,DC0004
INV000391,Product 391,Grocery,546.42,496,DC0010
INV000392,Product 392,Appliances,909.62,357,DC0008
INV000393,Product 393,Grocery,561.16,400,DC0002
INV000394,Product 394,Home Goods,796.54,213,DC0006
INV000395,Product 395,Outdoor,378.17,68,DC0001
INV000396,Product 396,Home Goods,751.07,208,DC0009
INV000397,Product 397,Electronics,396.36,143,DC0008
INV000398,Product 398,Hardware,1494.57,156,DC0008
INV000399,Product 399,Hardware,188.34,446,DC0002
INV000400,Product 400,Automotive,263.12,375,DC0008
INV000401,Product 401,Electronics,1216.72,442,DC0006
INV000402,Product 402,Grocery,1065.76,291,DC0009
INV000403,Product 403,Outdoor,1337.54,445,DC0003
INV000404,Product 404,Home Goods,1191.58,270,DC0004
INV000405,Product 405,Electronics,1477.77,415,DC0003
INV000406,Product 406,Hardware,1186.61,23,DC0006
INV000407,Product 407,Grocery,703.77,292,DC0003
INV000408,Product 408,Electronics,103.29,213,DC0008
INV000409,Product 409,Clothing,1154.9,431,DC0010
INV000410,Product 410,Electronics,192.36,172,DC0002
INV000411,Product 411,Automotive,701.42,274,DC0006
INV000412,Product 412,Home Goods,1317.55,409,DC0009
INV000413,Product 413,Home Goods,1152.83,76,DC0007
INV000414,Product 414,Appliances,1247.93,275,DC0003
INV000415,Product 415,Outdoor,251.16,175,DC0004
INV000416,Product 416,Grocery,1421.49,275,DC0005
INV000417,Product 417,Electronics,379.65,335,DC0009
INV000418,Product 418,Outdoor,192.13,165,DC0010
INV000419,Product 419,Electronics,756.35,96,DC0010
INV000420,Product 420,Home Goods,260.94,329,DC0010
INV000421,Product 421,Grocery,1264.58,298,DC0001
INV000422,Product 422,Appliances,126.43,495,DC0010
INV000423,Product 423,Outdoor,978.44,402,DC0010
INV000424,Product 424,Clothing,929.07,25,DC0008
INV000425,Product 425,Outdoor,964.65,164,DC0008
INV000426,Product 426,Hardware,1208.01,360,DC0007
INV000427,Product 427,Outdoor,683.05,362,DC0001
INV000428,Product 428,Home Goods,662.21,257,DC0008
INV000429,Product 429,Hardware,513.59,83,DC0006
INV000430,Product 430,Grocery,1102.63,450,DC0006
INV000431,Product 431,Clothing,200.5,199,DC0009
INV000432,Product 432,Electronics,482.08,248,DC0002
INV000433,Product 433,Outdoor,677.15,82,DC0002
INV000434,Product 434,Appliances,438.87,206,DC0010
INV000435,Product 435,Clothing,376.16,453,DC0003
INV000436,Product 436,Grocery,1400.96,379,DC0006
INV000437,Product 437,Hardware,1145.87,265,DC0009
INV000438,Product 438,Automotive,750.65,167,DC0008
INV000439,Product 439,Appliances,139.62,211,DC0009
INV000440,Product 440,Automotive,1450.2,120,DC0010
INV000441,Product 441,Grocery,77.74,154,DC0008
INV000442,Product 442,Automotive,432.19,14,DC0002
INV000443,Product 443,Clothing,205.23,145,DC0006
INV000444,Product 444,Clothing,552.08,215,DC0001
INV000445,Product 445,Hardware,546.97,157,DC0002
INV000446,Product 446,Clothing,758.86,401,DC0009
INV000447,Product 447,Outdoor,1238.84,329,DC0010
INV000448,Product 448,Electronics,197.35,59,DC0007
INV000449,Product 449,Grocery,1193.37,183,DC0009
INV000450,Product 450,Grocery,1133.67,111,DC0010
INV000451,Product 451,Clothing,752.62,33,DC0001
INV000452,Product 452,Home Goods,1071.82,421,DC0008
INV000453,Product 453,Automotive,227.67,467,DC0009
INV000454,Product 454,Home Goods,495.31,323,DC0006
INV000455,Product 455,Home Goods,592.47,325,DC0005
INV000456,Product 456,Grocery,763.44,270,DC0009
INV000457,Product 457,Automotive,1064.57,163,DC0008
INV000458,Product 458,Appliances,555.69,354,DC0002
INV000459,Product 459,Clothing,877.63,417,DC0001
INV000460,Product 460,Automotive,401.97,345,DC0010
INV000461,Product 461,Hardware,1083.49,308,DC0008
INV000462,Product 462,Home Goods,788.73,379,DC0010
INV000463,Product 463,Clothing,225.92,358,DC0004
INV000464,Product 464,Appliances,860.99,368,DC0002
INV000465,Product 465,Hardware,33.31,170,DC0007
INV000466,Product 466,Home Goods,622.38,114,DC0007
INV000467,Product 467,Automotive,1309.86,386,DC0001
INV000468,Product 468,Home Goods,780.43,297,DC0006
INV000469,Product 469,Automotive,790.59,170,DC0003
INV000470,Product 470,Automotive,1368.63,185,DC0009
INV000471,Product 471,Grocery,1015.42,454,DC0005
INV000472,Product 472,Automotive,292.43,136,DC0005
INV000473,Product 473,Outdoor,341.18,162,DC0005
INV000474,Product 474,Hardware,1036.91,260,DC0006
INV000475,Product 475,Automotive,526.46,488,DC0005
INV000476,Product 476,Outdoor,187.2,356,DC0009
INV000477,Product 477,Clothing,1344.16,212,DC0006
INV000478,Product 478,Home Goods,439.23,157,DC0002
INV000479,Product 479,Grocery,1386.39,345,DC0005
INV000480,Product 480,Automotive,324.91,433,DC0009
INV000481,Product 481,Outdoor,1399.87,366,DC0005
INV000482,Product 482,Home Goods,168.29,389,DC0010
INV000483,Product 483,Hardware,367.47,352,DC0009
INV000484,Product 484,Hardware,958.73,36,DC0002
INV000485,Product 485,Clothing,498.79,251,DC0002
INV000486,Product 486,Home Goods,12.75,291,DC0003
INV000487,Product 487,Clothing,981.07,460,DC0008
INV000488,Product 488,Automotive,977.56,397,DC0005
INV000489,Product 489,Grocery,431.7,40,DC0002
INV000490,Product 490,Hardware,805.05,380,DC0001
INV000491,Product 491,Home Goods,629.74,438,DC0003
INV000492,Product 492,Appliances,1495.77,213,DC0008
INV000493,Product 493,Home Goods,1405.23,456,DC0005
INV000494,Product 494,Appliances,18.85,300,DC0010
INV000495,Product 495,Electronics,1393.04,181,DC0005
INV000496,Product 496,Automotive,1483.7,288,DC0009
INV000497,Product 497,Automotive,1334.44,78,DC0009
INV000498,Product 498,Automotive,412.89,424,DC0002
INV000499,Product 499,Grocery,247.93,244,DC0005
INV000500,Product 500,Home Goods,26.06,182,DC0005
